bench,contender,config,n,axes,payload,ns_op,ns_elem,melem_s,bytes,allocs,passes,reps
payload,gather_only,8B,1000000,1,8,529459.0,0.5295,1888.72,0,0,0.0,64
payload,radix_then_gather,8B,1000000,1,8,10088500.0,10.0885,99.12,0,0,0.0,5
payload,std::sort_rows,8B,1000000,1,8,40115292.0,40.1153,24.93,0,0,0.0,3
payload,gather_only,32B,1000000,1,32,2912709.0,2.9127,343.32,0,0,0.0,14
payload,radix_then_gather,32B,1000000,1,32,12619792.0,12.6198,79.24,0,0,0.0,4
payload,std::sort_rows,32B,1000000,1,32,43843583.0,43.8436,22.81,0,0,0.0,3
payload,gather_only,128B,1000000,1,128,19736917.0,19.7369,50.67,0,0,0.0,3
payload,radix_then_gather,128B,1000000,1,128,29146166.0,29.1462,34.31,0,0,0.0,3
payload,std::sort_rows,128B,1000000,1,128,59774583.0,59.7746,16.73,0,0,0.0,3
simd,vary_novec,stride1,1000000,1,0,255500.0,0.2555,3913.89,0,0,0.0,191
simd,vary_autovec,stride1,1000000,1,0,67417.0,0.0674,14833.05,0,0,0.0,673
simd,vary_neon,stride1,1000000,1,0,64250.0,0.0643,15564.20,0,0,0.0,773
simd,vary_novec,stride4,1000000,1,0,377542.0,0.3775,2648.71,0,0,0.0,100
simd,vary_autovec,stride4,1000000,1,0,436583.0,0.4366,2290.52,0,0,0.0,133
simd,vary_neon,stride4,1000000,1,0,405458.0,0.4055,2466.35,0,0,0.0,133
simd,encode_novec,i64,1000000,1,0,243750.0,0.2437,4102.56,0,0,0.0,117
simd,encode_neon,i64,1000000,1,0,118208.0,0.1182,8459.66,0,0,0.0,392
lanes,std::sort_perm,1axis/row-major,1000000,1,0,77857208.0,77.8572,12.84,0,0,0.0,3
lanes,radix_gather,1axis/row-major,1000000,1,0,10768333.0,10.7683,92.86,0,0,8.0,4
lanes,radix_carry,1axis/row-major,1000000,1,0,9595208.0,9.5952,104.22,0,0,8.0,6
lanes,radix_prehist,1axis/row-major,1000000,1,0,9617084.0,9.6171,103.98,0,0,8.0,6
lanes,std::sort_perm,1axis/lane-major,1000000,1,0,66748208.0,66.7482,14.98,0,0,0.0,3
lanes,radix_gather,1axis/lane-major,1000000,1,0,10822459.0,10.8225,92.40,0,0,8.0,5
lanes,radix_carry,1axis/lane-major,1000000,1,0,9301750.0,9.3018,107.51,0,0,8.0,6
lanes,radix_prehist,1axis/lane-major,1000000,1,0,9266417.0,9.2664,107.92,0,0,8.0,6
lanes,std::sort_perm,2axis/row-major,1000000,2,0,91472334.0,91.4723,10.93,0,0,0.0,3
lanes,radix_gather,2axis/row-major,1000000,2,0,15201167.0,15.2012,65.78,0,0,9.0,3
lanes,radix_carry,2axis/row-major,1000000,2,0,12233292.0,12.2333,81.74,0,0,9.0,4
lanes,radix_prehist,2axis/row-major,1000000,2,0,13199917.0,13.1999,75.76,0,0,9.0,4
lanes,std::sort_perm,2axis/lane-major,1000000,2,0,87317375.0,87.3174,11.45,0,0,0.0,3
lanes,radix_gather,2axis/lane-major,1000000,2,0,12246875.0,12.2469,81.65,0,0,9.0,4
lanes,radix_carry,2axis/lane-major,1000000,2,0,11355584.0,11.3556,88.06,0,0,9.0,5
lanes,radix_prehist,2axis/lane-major,1000000,2,0,12012166.0,12.0122,83.25,0,0,9.0,4
lanes,std::sort_perm,4axis/row-major,1000000,4,0,108965958.0,108.9660,9.18,0,0,0.0,3
lanes,radix_gather,4axis/row-major,1000000,4,0,55625333.0,55.6253,17.98,0,0,11.0,3
lanes,radix_carry,4axis/row-major,1000000,4,0,24326750.0,24.3268,41.11,0,0,11.0,3
lanes,radix_prehist,4axis/row-major,1000000,4,0,29837625.0,29.8376,33.51,0,0,11.0,3
lanes,std::sort_perm,4axis/lane-major,1000000,4,0,130820375.0,130.8204,7.64,0,0,0.0,3
lanes,radix_gather,4axis/lane-major,1000000,4,0,22168000.0,22.1680,45.11,0,0,11.0,3
lanes,radix_carry,4axis/lane-major,1000000,4,0,17541250.0,17.5413,57.01,0,0,11.0,3
lanes,radix_prehist,4axis/lane-major,1000000,4,0,19739084.0,19.7391,50.66,0,0,11.0,3
lanes,std::sort_perm,8axis/row-major,1000000,8,0,119417333.0,119.4173,8.37,0,0,0.0,3
lanes,radix_gather,8axis/row-major,1000000,8,0,88241917.0,88.2419,11.33,0,0,15.0,3
lanes,radix_carry,8axis/row-major,1000000,8,0,50106333.0,50.1063,19.96,0,0,15.0,3
lanes,radix_prehist,8axis/row-major,1000000,8,0,72080667.0,72.0807,13.87,0,0,15.0,3
lanes,std::sort_perm,8axis/lane-major,1000000,8,0,125904584.0,125.9046,7.94,0,0,0.0,3
lanes,radix_gather,8axis/lane-major,1000000,8,0,30527958.0,30.5280,32.76,0,0,15.0,3
lanes,radix_carry,8axis/lane-major,1000000,8,0,27039250.0,27.0392,36.98,0,0,15.0,3
lanes,radix_prehist,8axis/lane-major,1000000,8,0,29909417.0,29.9094,33.43,0,0,15.0,3
entropy,std::sort_perm,e64/random,1000000,1,0,66937791.0,66.9378,14.94,0,0,0.0,3
entropy,radix_gather,e64/random,1000000,1,0,10280708.0,10.2807,97.27,0,0,8.0,5
entropy,radix_carry,e64/random,1000000,1,0,9247833.0,9.2478,108.13,0,0,8.0,6
entropy,radix_prehist,e64/random,1000000,1,0,9231791.0,9.2318,108.32,0,0,8.0,6
entropy,std::sort_perm,e32/random,1000000,1,0,67104292.0,67.1043,14.90,0,0,0.0,3
entropy,radix_gather,e32/random,1000000,1,0,5005292.0,5.0053,199.79,0,0,4.0,9
entropy,radix_carry,e32/random,1000000,1,0,4860959.0,4.8610,205.72,0,0,4.0,12
entropy,radix_prehist,e32/random,1000000,1,0,4806541.0,4.8065,208.05,0,0,4.0,12
entropy,std::sort_perm,e24/random,1000000,1,0,67645083.0,67.6451,14.78,0,0,0.0,3
entropy,radix_gather,e24/random,1000000,1,0,3698625.0,3.6986,270.37,0,0,3.0,12
entropy,radix_carry,e24/random,1000000,1,0,3793125.0,3.7931,263.63,0,0,3.0,15
entropy,radix_prehist,e24/random,1000000,1,0,3746250.0,3.7462,266.93,0,0,3.0,15
entropy,std::sort_perm,e8/random,1000000,1,0,31377583.0,31.3776,31.87,0,0,0.0,3
entropy,radix_gather,e8/random,1000000,1,0,1124250.0,1.1242,889.48,0,0,1.0,25
entropy,radix_carry,e8/random,1000000,1,0,1603500.0,1.6035,623.64,0,0,1.0,34
entropy,radix_prehist,e8/random,1000000,1,0,1617375.0,1.6174,618.29,0,0,1.0,35
entropy,std::sort_perm,eq/random,1000000,1,0,1164541.0,1.1645,858.71,0,0,0.0,46
entropy,radix_gather,eq/random,1000000,1,0,127750.0,0.1278,7827.79,0,0,0.0,53
entropy,radix_carry,eq/random,1000000,1,0,119375.0,0.1194,8376.96,0,0,0.0,416
entropy,radix_prehist,eq/random,1000000,1,0,120625.0,0.1206,8290.16,0,0,0.0,454
topk,radix_carry_full,k=all,10000000,1,0,92031917.0,9.2032,108.66,0,0,8.0,3
topk,std::sort_perm_full,k=all,10000000,1,0,946874417.0,94.6874,10.56,0,0,0.0,3
topk,std::partial_sort,k=1,10000000,1,0,10023666.0,1.0024,997.64,0,0,0.0,5
topk,radix_msd_topk,k=1,10000000,1,0,11570625.0,1.1571,864.26,0,0,0.0,3
topk,std::partial_sort,k=10,10000000,1,0,10120000.0,1.0120,988.14,0,0,0.0,5
topk,radix_msd_topk,k=10,10000000,1,0,11511209.0,1.1511,868.72,0,0,0.0,5
topk,std::partial_sort,k=100,10000000,1,0,10131584.0,1.0132,987.01,0,0,0.0,5
topk,radix_msd_topk,k=100,10000000,1,0,11608584.0,1.1609,861.43,0,0,0.0,5
topk,std::partial_sort,k=1000,10000000,1,0,10622000.0,1.0622,941.44,0,0,0.0,5
topk,radix_msd_topk,k=1000,10000000,1,0,11443542.0,1.1444,873.86,0,0,0.0,5
topk,std::partial_sort,k=10000,10000000,1,0,18023500.0,1.8023,554.83,0,0,0.0,3
topk,radix_msd_topk,k=10000,10000000,1,0,12173208.0,1.2173,821.48,0,0,0.0,4
smalln,std::sort_direct,e64/random,8,1,0,6.3,0.7832,1276.81,0,0,0.0,1024000
smalln,bitonic_scalar,e64/random,8,1,0,24.7,3.0923,323.39,0,0,0.0,1024000
smalln,bitonic_neon,e64/random,8,1,0,11.3,1.4141,707.18,0,0,0.0,1024000
smalln,insertion_perm,e64/random,8,1,0,9.9,1.2410,805.82,0,0,0.0,1024000
smalln,std::sort_perm,e64/random,8,1,0,16.0,2.0039,499.03,0,0,0.0,1024000
smalln,radix_carry,e64/random,8,1,0,678.8,84.8489,11.79,0,0,0.0,82432
smalln,radix_carry_alloc,e64/random,8,1,0,959.4,119.9238,8.34,304,10,0.0,56320
smalln,std::sort_direct,e64/random,16,1,0,26.0,1.6276,614.42,0,0,0.0,1024000
smalln,bitonic_scalar,e64/random,16,1,0,92.4,5.7780,173.07,0,0,0.0,549888
smalln,bitonic_neon,e64/random,16,1,0,32.1,2.0090,497.75,0,0,0.0,1024000
smalln,insertion_perm,e64/random,16,1,0,42.9,2.6805,373.06,0,0,0.0,1024000
smalln,std::sort_perm,e64/random,16,1,0,61.4,3.8401,260.41,0,0,0.0,906752
smalln,radix_carry,e64/random,16,1,0,711.0,44.4387,22.50,0,0,0.0,76800
smalln,radix_carry_alloc,e64/random,16,1,0,995.4,62.2101,16.07,472,10,0.0,55808
smalln,std::sort_direct,e64/random,32,1,0,55.7,1.7395,574.88,0,0,0.0,918016
smalln,bitonic_scalar,e64/random,32,1,0,282.8,8.8374,113.16,0,0,0.0,183808
smalln,bitonic_neon,e64/random,32,1,0,84.2,2.6321,379.92,0,0,0.0,565760
smalln,insertion_perm,e64/random,32,1,0,154.1,4.8141,207.72,0,0,0.0,328192
smalln,std::sort_perm,e64/random,32,1,0,136.5,4.2648,234.48,0,0,0.0,370176
smalln,radix_carry,e64/random,32,1,0,805.7,25.1796,39.71,0,0,0.0,69120
smalln,radix_carry_alloc,e64/random,32,1,0,1099.5,34.3602,29.10,808,10,0.0,50176
smalln,std::sort_direct,e64/random,64,1,0,134.6,2.1031,475.48,0,0,0.0,320512
smalln,bitonic_scalar,e64/random,64,1,0,782.4,12.2248,81.80,0,0,0.0,71680
smalln,bitonic_neon,e64/random,64,1,0,226.5,3.5388,282.58,0,0,0.0,242176
smalln,insertion_perm,e64/random,64,1,0,611.1,9.5482,104.73,0,0,0.0,95232
smalln,std::sort_perm,e64/random,64,1,0,280.5,4.3831,228.15,0,0,0.0,171520
smalln,radix_carry,e64/random,64,1,0,996.7,15.5742,64.21,0,0,0.0,51200
smalln,radix_carry_alloc,e64/random,64,1,0,1321.0,20.6400,48.45,1480,10,0.0,42496
smalln,std::sort_direct,e64/random,128,1,0,321.8,2.5139,397.79,0,0,0.0,156160
smalln,bitonic_scalar,e64/random,128,1,0,2161.9,16.8896,59.21,0,0,0.0,25600
smalln,bitonic_neon,e64/random,128,1,0,557.7,4.3570,229.52,0,0,0.0,98304
smalln,insertion_perm,e64/random,128,1,0,2659.8,20.7799,48.12,0,0,0.0,21504
smalln,std::sort_perm,e64/random,128,1,0,690.8,5.3965,185.30,0,0,0.0,74240
smalln,radix_carry,e64/random,128,1,0,1437.8,11.2330,89.02,0,0,0.0,36864
smalln,radix_carry_alloc,e64/random,128,1,0,1785.5,13.9491,71.69,2824,10,0.0,31232
smalln,std::sort_direct,e64/random,256,1,0,845.9,3.3045,302.62,0,0,0.0,65024
smalln,bitonic_scalar,e64/random,256,1,0,5547.9,21.6716,46.14,0,0,0.0,9216
smalln,bitonic_neon,e64/random,256,1,0,1374.4,5.3689,186.26,0,0,0.0,44544
smalln,insertion_perm,e64/random,256,1,0,9375.2,36.6217,27.31,0,0,0.0,6144
smalln,std::sort_perm,e64/random,256,1,0,1753.0,6.8477,146.03,0,0,0.0,32256
smalln,radix_carry,e64/random,256,1,0,2135.2,8.3405,119.90,0,0,0.0,25088
smalln,radix_carry_alloc,e64/random,256,1,0,2471.8,9.6556,103.57,5512,10,0.0,20480
smalln,std::sort_direct,e64/random,512,1,0,2016.9,3.9392,253.86,0,0,0.0,26520
smalln,bitonic_scalar,e64/random,512,1,0,13590.3,26.5435,37.67,0,0,0.0,4290
smalln,bitonic_neon,e64/random,512,1,0,3477.1,6.7913,147.25,0,0,0.0,16770
smalln,insertion_perm,e64/random,512,1,0,38070.1,74.3556,13.45,0,0,0.0,1170
smalln,std::sort_perm,e64/random,512,1,0,4145.8,8.0973,123.50,0,0,0.0,13650
smalln,radix_carry,e64/random,512,1,0,3857.4,7.5339,132.73,0,0,0.0,14040
smalln,radix_carry_alloc,e64/random,512,1,0,4158.9,8.1228,123.11,10888,10,0.0,12870
scale,std::sort_direct,e64/random,16,1,0,33.6,2.1006,476.06,0,0,0.0,1024000
scale,std::sort_perm,e64/random,16,1,0,65.8,4.1096,243.33,0,0,0.0,796160
scale,std::stable_perm,e64/random,16,1,0,65.3,4.0792,245.14,0,0,0.0,819712
scale,insertion_perm,e64/random,16,1,0,47.9,2.9907,334.37,0,0,0.0,1024000
scale,radix_gather,e64/random,16,1,0,702.4,43.8995,22.78,0,0,8.0,75776
scale,radix_carry,e64/random,16,1,0,706.9,44.1792,22.64,0,0,8.0,77824
scale,radix_prehist,e64/random,16,1,0,899.8,56.2389,17.78,0,0,8.0,62464
scale,radix_carry_alloc,e64/random,16,1,0,984.2,61.5133,16.26,472,10,8.0,56832
scale,std::sort_direct,e64/random,64,1,0,156.2,2.4414,409.60,0,0,0.0,354304
scale,std::sort_perm,e64/random,64,1,0,308.3,4.8180,207.56,0,0,0.0,168448
scale,std::stable_perm,e64/random,64,1,0,754.9,11.7950,84.78,0,0,0.0,73216
scale,insertion_perm,e64/random,64,1,0,522.2,8.1596,122.55,0,0,0.0,92160
scale,radix_gather,e64/random,64,1,0,986.5,15.4139,64.88,0,0,8.0,55296
scale,radix_carry,e64/random,64,1,0,970.9,15.1711,65.92,0,0,8.0,55808
scale,radix_prehist,e64/random,64,1,0,1013.7,15.8386,63.14,0,0,8.0,53760
scale,radix_carry_alloc,e64/random,64,1,0,1375.4,21.4908,46.53,1480,10,8.0,43008
scale,std::sort_direct,e64/random,128,1,0,331.8,2.5921,385.79,0,0,0.0,158208
scale,std::sort_perm,e64/random,128,1,0,698.4,5.4563,183.27,0,0,0.0,85504
scale,std::stable_perm,e64/random,128,1,0,3817.2,29.8220,33.53,0,0,0.0,15360
scale,insertion_perm,e64/random,128,1,0,2755.5,21.5276,46.45,0,0,0.0,20480
